timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
2025-07-10T13:25:46.052319,-44.0,-40.0,30.0,24.0,2.0,-12.0,37.0,34.0,-35.0,-77.0,7.0,-16.0
2025-07-10T13:25:46.056704,-15.0,35.0,-42.0,-42.0,87.0,45.0,46.0,-13.0,28.0,35.0,66.0,-18.0
2025-07-10T13:25:46.060921,2.0,-12.0,104.0,29.0,2.0,60.0,-5.0,-77.0,6.0,-53.0,15.0,-32.0
2025-07-10T13:25:46.068819,13.0,27.0,55.0,26.0,61.0,70.0,13.0,-33.0,-39.0,5.0,56.0,-18.0
2025-07-10T13:25:46.073025,-66.0,-92.0,65.0,0.0,-7.0,-29.0,-1.0,47.0,6.0,4.0,-3.0,38.0
2025-07-10T13:25:46.081298,3.0,18.0,57.0,-25.0,71.0,-20.0,-11.0,-39.0,-27.0,-32.0,54.0,31.0
2025-07-10T13:25:46.085280,-97.0,-49.0,20.0,-15.0,-24.0,48.0,13.0,46.0,28.0,-51.0,24.0,31.0
2025-07-10T13:25:46.093613,-83.0,68.0,28.0,52.0,-35.0,-28.0,-13.0,-17.0,-13.0,-7.0,55.0,22.0
2025-07-10T13:25:46.097569,-97.0,33.0,-7.0,45.0,7.0,29.0,-114.0,-1.0,-51.0,-30.0,1.0,17.0
2025-07-10T13:25:46.105842,-110.0,79.0,-58.0,-49.0,2.0,1.0,-36.0,11.0,47.0,-14.0,32.0,52.0
2025-07-10T13:25:46.109838,28.0,51.0,-22.0,19.0,84.0,0.0,-28.0,10.0,13.0,-9.0,80.0,20.0
2025-07-10T13:25:46.118207,31.0,34.0,10.0,-36.0,0.0,-41.0,-55.0,-19.0,17.0,-11.0,38.0,12.0
2025-07-10T13:25:46.122279,-20.0,42.0,103.0,-19.0,80.0,-60.0,-47.0,-52.0,-77.0,30.0,57.0,-30.0
2025-07-10T13:25:46.130367,-45.0,-11.0,38.0,-32.0,-7.0,-33.0,-65.0,-15.0,-49.0,-54.0,122.0,32.0
2025-07-10T13:25:46.134428,-86.0,96.0,120.0,20.0,18.0,-18.0,-65.0,57.0,-67.0,-13.0,8.0,31.0
2025-07-10T13:25:46.142667,-67.0,13.0,-66.0,-10.0,-65.0,13.0,5.0,-41.0,-42.0,-3.0,68.0,17.0
2025-07-10T13:25:46.146710,-81.0,-11.0,-4.0,42.0,-18.0,54.0,3.0,-31.0,5.0,-15.0,32.0,48.0
2025-07-10T13:25:46.155010,-15.0,65.0,-39.0,-92.0,30.0,34.0,-55.0,63.0,-32.0,-16.0,81.0,44.0
2025-07-10T13:25:46.159362,29.0,31.0,-6.0,-15.0,44.0,-27.0,-6.0,20.0,-7.0,-35.0,76.0,20.0
2025-07-10T13:25:46.167217,-6.0,-26.0,-3.0,62.0,33.0,-64.0,-40.0,24.0,-33.0,10.0,68.0,17.0
2025-07-10T13:25:46.171517,-3.0,9.0,-8.0,79.0,20.0,-8.0,68.0,-19.0,-57.0,-11.0,93.0,-26.0
2025-07-10T13:25:46.179371,-13.0,68.0,32.0,2.0,8.0,31.0,-38.0,5.0,-34.0,-37.0,-16.0,24.0
2025-07-10T13:25:46.183935,12.0,-18.0,-4.0,-30.0,38.0,49.0,10.0,-38.0,-35.0,-10.0,2.0,72.0
2025-07-10T13:25:46.191710,-4.0,-44.0,-75.0,-36.0,31.0,-1.0,46.0,-1.0,-63.0,-16.0,2.0,-22.0
2025-07-10T13:25:46.196112,-7.0,-27.0,-24.0,32.0,31.0,0.0,-30.0,-68.0,-25.0,58.0,-32.0,38.0
2025-07-10T13:25:46.203987,-49.0,-95.0,22.0,45.0,17.0,13.0,-12.0,-44.0,38.0,48.0,35.0,8.0
2025-07-10T13:25:46.208183,-69.0,-20.0,58.0,28.0,-2.0,-70.0,3.0,-21.0,-96.0,40.0,-41.0,-11.0
2025-07-10T13:25:46.216197,-111.0,-6.0,53.0,73.0,7.0,-10.0,-37.0,-18.0,-23.0,60.0,8.0,-20.0
2025-07-10T13:25:46.220444,-76.0,33.0,3.0,-8.0,40.0,11.0,-5.0,-25.0,-42.0,45.0,-50.0,49.0
