timestamp_us,position
1754923865712268,100
1754923865728253,100
1754923865744258,100
1754923865760271,100
1754923865776439,100
1754923865792463,100
1754923865808515,100
1754923865824454,100
1754923865840263,100
1754923865856210,100
1754923865872408,100
1754923865888262,100
1754923865904213,100
1754923865920303,100
1754923865936259,100
1754923865952211,100
1754923865968396,100
1754923865984423,100
1754923866000267,100
1754923866016420,100
1754923866032384,100
1754923866048320,100
1754923866064218,100
1754923866080185,100
1754923866096266,100
1754923866112363,100
1754923866128191,100
1754923866144384,100
1754923866160408,100
1754923866176184,100
1754923866192137,100
1754923866224289,100
1754923866240132,101
1754923866256320,102
1754923866288366,104
1754923866304105,107
1754923866320059,108
1754923866352287,109
1754923866368271,111
1754923866384258,112
1754923866416074,113
1754923866432157,115
1754923866448182,116
1754923866480246,117
1754923866496228,119
1754923866512068,120
1754923866544023,122
1754923866560036,123
1754923866576061,124
1754923866608058,125
1754923866624199,127
1754923866640038,128
1754923866672199,129
1754923866688191,131
1754923866704059,132
1754923866736100,134
1754923866752014,135
1754923866768062,136
1754923866800146,138
1754923866816087,139
1754923866832089,140
1754923866864107,142
1754923866879936,143
1754923866896102,144
1754923866928059,146
1754923866943980,147
1754923866960042,149
1754923866992122,150
1754923867008112,152
1754923867023967,153
1754923867056086,154
1754923867072013,156
1754923867087924,157
1754923867119976,158
1754923867136042,160
1754923867152056,161
1754923867183849,162
1754923867200053,163
1754923867215849,163
1754923867247917,163
1754923867263856,163
1754923867279832,163
1754923867312030,163
1754923867327858,163
1754923867343993,163
1754923867359983,163
1754923867375782,163
1754923867391905,163
1754923867407866,163
1754923867423836,163
1754923867439924,163
1754923867455726,163
1754923867471742,163
1754923867487958,163
1754923867503921,163
1754923867519920,163
1754923867535904,163
1754923867551696,163
1754923867567723,163
1754923867583774,163
1754923867599768,163
1754923867615698,163
1754923867631880,163
1754923867647752,163
1754923867663874,163
1754923867679896,163
1754923867695862,163
1754923867711721,163
1754923867727862,163
1754923867743817,163
1754923867759655,163
1754923867775683,163
1754923867791556,163
1754923867823668,163
1754923867839638,164
1754923867855619,165
1754923867887726,167
1754923867903720,170
1754923867919712,171
1754923867951604,172
1754923867967820,174
1754923867983600,175
1754923868015532,176
1754923868031559,176
1754923868047554,176
1754923868079532,176
1754923868095510,176
1754923868111497,176
1754923868143521,176
1754923868159577,176
1754923868175580,176
1754923868191489,176
1754923868207469,176
1754923868223504,176
1754923868239571,176
1754923868255515,176
1754923868271508,176
1754923868287417,176
1754923868303632,176
1754923868319583,176
1754923868335578,176
1754923868351583,176
1754923868367584,176
1754923868383469,176
1754923868399534,176
1754923868415581,176
1754923868431512,176
1754923868447479,176
1754923868463392,176
1754923868479532,176
1754923868495608,176
1754923868511614,176
1754923868527438,176
1754923868543563,176
1754923868559465,176
1754923868575409,176
1754923868591411,176
1754923868607303,176
1754923868623328,176
1754923868655386,176
1754923868671492,175
1754923868687454,174
1754923868719498,172
1754923868735521,170
1754923868751394,169
1754923868783317,167
1754923868799283,166
1754923868815297,165
1754923868847517,164
1754923868863263,163
1754923868879507,163
1754923868911436,163
1754923868927391,163
1754923868943244,163
1754923868975323,163
1754923868991415,163
1754923869007401,163
1754923869023360,163
1754923869039437,163
1754923869055441,163
1754923869071370,163
1754923869087393,163
1754923869103195,163
1754923869119308,163
1754923869135236,163
1754923869151362,163
1754923869167299,163
1754923869183358,163
1754923869199373,163
1754923869215381,163
1754923869231281,163
1754923869247177,163
1754923869263244,163
1754923869279206,163
1754923869295177,163
1754923869311137,163
1754923869327410,163
1754923869343389,163
1754923869359136,163
1754923869375387,163
1754923869391306,163
1754923869407305,163
1754923869423247,163
1754923869439095,163
1754923869455081,163
1754923869487430,163
1754923869503248,162
1754923869519052,161
1754923869551271,160
1754923869567087,158
1754923869583121,156
1754923869615137,155
1754923869631098,153
1754923869647117,152
1754923869679064,151
1754923869695110,149
1754923869711119,148
1754923869743164,147
1754923869759025,145
1754923869775009,144
1754923869807011,143
1754923869823021,141
1754923869838977,140
1754923869871055,138
1754923869887177,137
1754923869903143,136
1754923869934940,134
1754923869951038,133
1754923869967001,132
1754923869999142,130
1754923870015172,129
1754923870031157,128
1754923870063148,126
1754923870079130,125
1754923870094878,124
1754923870126977,122
1754923870142961,121
1754923870158862,120
1754923870191045,118
1754923870207089,117
1754923870223074,116
1754923870255015,114
1754923870271007,113
1754923870287028,112
1754923870318839,111
1754923870334839,109
1754923870350989,108
1754923870382972,106
1754923870398787,104
1754923870415024,103
1754923870446972,102
1754923870462839,100
1754923870478812,100
1754923870511013,100
1754923870526955,100
1754923870542942,100
1754923870574762,100
1754923870590751,100
1754923870606726,100
1754923870638709,100
1754923870654722,100
1754923870670726,100
1754923870686660,100
1754923870702820,100
1754923870718655,100
1754923870734674,100
1754923870750714,100
1754923870766660,100
1754923870782669,100
1754923870798642,100
1754923870814682,100
1754923870830701,100
1754923870846880,100
1754923870862825,100
1754923870878864,100
1754923870894865,100
1754923870910622,100
1754923870926690,100
1754923870942817,100
1754923870958593,100
1754923870974699,100
1754923870990596,100
1754923871006596,100
1754923871022651,100
1754923871038613,100
1754923871054563,100
1754923871070685,100
1754923871086615,100
1754923871102686,100
1754923871118657,100
