timestamp,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
2025-07-11T14:55:32.379445,68.0,28.0,-102.0,21.0,-59.0,-27.0,-12.0,-43.0,17.0,-55.0,26.0,-23.0
2025-07-11T14:55:32.380823,17.0,17.0,-44.0,81.0,22.0,25.0,8.0,-61.0,40.0,-106.0,-3.0,-37.0
2025-07-11T14:55:32.385459,85.0,75.0,-45.0,13.0,12.0,14.0,47.0,-97.0,46.0,6.0,7.0,-16.0
2025-07-11T14:55:32.393511,113.0,-2.0,-13.0,9.0,50.0,44.0,32.0,-60.0,19.0,-113.0,-16.0,-72.0
2025-07-11T14:55:32.397821,72.0,-50.0,-13.0,18.0,52.0,-37.0,18.0,-18.0,-25.0,-3.0,-4.0,19.0
2025-07-11T14:55:32.406051,-3.0,9.0,9.0,-8.0,29.0,41.0,-44.0,-43.0,-20.0,13.0,31.0,-8.0
2025-07-11T14:55:32.410537,91.0,74.0,-12.0,61.0,38.0,6.0,53.0,-55.0,11.0,10.0,-91.0,66.0
2025-07-11T14:55:32.417610,8.0,44.0,-10.0,17.0,-13.0,16.0,19.0,-29.0,-7.0,-24.0,-75.0,4.0
2025-07-11T14:55:32.423605,97.0,14.0,7.0,19.0,-29.0,32.0,9.0,34.0,17.0,-29.0,-66.0,38.0
2025-07-11T14:55:32.429943,64.0,-48.0,30.0,-22.0,-17.0,92.0,28.0,4.0,6.0,-48.0,-13.0,-9.0
2025-07-11T14:55:32.434893,57.0,-20.0,-37.0,-33.0,25.0,8.0,-20.0,-6.0,-15.0,-13.0,-80.0,51.0
2025-07-11T14:55:32.442350,47.0,-4.0,-26.0,22.0,-33.0,-30.0,97.0,-65.0,0.0,21.0,25.0,-10.0
2025-07-11T14:55:32.446822,77.0,25.0,12.0,-39.0,-44.0,6.0,80.0,-42.0,45.0,-44.0,55.0,21.0
2025-07-11T14:55:32.455842,-10.0,13.0,-23.0,5.0,13.0,-10.0,-12.0,-15.0,34.0,-15.0,53.0,-53.0
2025-07-11T14:55:32.459405,55.0,22.0,-9.0,30.0,35.0,2.0,-60.0,31.0,54.0,-13.0,-31.0,-26.0
2025-07-11T14:55:32.466785,25.0,-10.0,70.0,22.0,-10.0,26.0,33.0,-25.0,-44.0,14.0,20.0,-32.0
2025-07-11T14:55:32.471943,40.0,34.0,-24.0,41.0,51.0,-42.0,75.0,-4.0,36.0,30.0,21.0,-11.0
